rec_idx,키워드,수집일시,등록일,날짜구분,기업명,공고제목,직무카테고리,근무지역,경력,학력,고용형태,마감일,공고링크
54371312,신입,2026-07-19 15:46:59,2026-07-04,등록일,주식회사 파소나코리아,"[평택근무 일본기업] 영업담당(신입경력,일본어)","고객관리, ,, 영업, ,, 헤드헌팅",경기 평택시,신입·경력,대졸↑,정규직,오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54371312
54230541,신입,2026-07-19 15:46:59,2026-07-15,수정일,에이스휴먼파워(주),신한카드 [주간 카드분실/도난접수] #신입환영 #영업없음 #간단,"해피콜, ,, 안내데스크, ,, 텔레마케터, ,, 인바운드, ,, 콜센터/고객센터, 외",서울전체,경력무관,학력무관,파견직,오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54230541
54261041,신입,2026-07-19 15:46:59,2026-06-23,등록일,(주)유니에스,[신촌 세브란스병원] 수술파트 보조사원 채용 / 신입가능,"중환자실, ,, 조제보조, ,, 수술보조, ,, 진료보조, ,, 간호조무사, 외",서울전체,경력무관,고졸↑,,~07/23(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54261041
54472396,신입,2026-07-19 15:46:59,2026-07-15,등록일,에이스휴먼파워(주),[월 310/연 3800] 파이브가이즈 강남점 매장관리자 채용,"카페매니저, ,, 캐셔, ,, 매장매니저, ,, 백화점, ,, 매장관리, 외",서울 서초구,경력무관,고졸↑,,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54472396
54353750,신입,2026-07-19 15:46:59,2026-07-02,등록일,(주)유니에스,"[신촌 세브란스병원] 병동파트 사원 채용/ 주5일/ 신입,초보가능","중환자실, ,, 수술, ,, 매장매니저, ,, 수술보조, ,, 개인병원, 외",서울 서대문구,경력무관,고졸↑,,~08/01(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54353750
54443830,신입,2026-07-19 15:46:59,2026-07-13,등록일,(주)단비교육,[재택] 단비교육 캐츠잉글리시 화상 교사 모집,"상담교사, ,, 고객관리, ,, 유아교육, ,, 학습지, ,, 온라인교육, 외",서울 강남구,경력무관,초대졸↑,위촉직,~09/11(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54443830
54375103,신입,2026-07-19 15:46:59,2026-07-14,수정일,퍼솔켈리코리아(유),[글로벌 철도부품 정비 기업] 정비 및 유지보수,"하자보수, ,, 다기능공, ,, 시설관리, ,, QC, ,, 산업설비, 외",경기 파주시,신입,대졸↑,계약직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54375103
54368813,신입,2026-07-19 15:46:59,2026-07-03,수정일,(주)한빛레이저,집단급식소 조리사 및 조리보조 업무 담당자 1명,"조리사, ,, 기구설계",대전 유성구,경력무관,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54368813
54475582,신입,2026-07-19 15:46:59,2026-07-15,등록일,퍼솔코리아(유),[메르세데스-벤츠파이낸셔코리아]자동차 금융 계약운영 담당자,"금융사무, ,, 자동차",서울 중구,경력무관,대졸↑,,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54475582
54282861,신입,2026-07-19 15:46:59,2026-06-25,등록일,(주)아이비김영,[메가스터디교육그룹] 아이비원격평생교육원 상담 팀원 모집,"온라인교육, ,, 교육운영, ,, 교육컨설턴트, ,, 교육기관",서울 마포구,경력무관,초대졸↑,정규직,~08/24(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54282861
