job_id,키워드,수집일시,등록일,기업명,공고제목,직무카테고리,근무지역,경력,학력,마감일,공고링크
6230525,해외영업,2026-07-20 01:20:09,2026-06-29,더파운더즈,[ANUA] 글로벌 B2C 채널 아마존 매니저,,서울 강남,인턴.신입,,채용시,https://www.peoplenjob.com/jobs/6230525
6226219,해외영업,2026-07-20 01:20:09,2026-06-22,엔터웨이파트너스,해외영업-중견 제조사,,서울,인턴.신입 / 사원 / 대리.과장,,07.22,https://www.peoplenjob.com/jobs/6226219
6243017,신입,2026-07-20 01:20:09,2026-07-18,KFDA한국식자재유통협회,협회 행사 및 사무국 관리 담당 (신입~팀장),,서울 강남,인턴.신입 / 사원 / 대리.과장,,08.17,https://www.peoplenjob.com/jobs/6243017
6242427,신입,2026-07-20 01:20:09,2026-07-16,Manpowersearch,과일공방 생산 및 운영 담당,,전북,인턴.신입 / 사원 / 대리.과장,,채용시,https://www.peoplenjob.com/jobs/6242427
6242328,신입,2026-07-20 01:20:09,2026-07-16,엔터웨이파트너스,[세계 최초 약물분사] 선행연구팀(팀원),,대전,인턴.신입 / 사원,,08.15,https://www.peoplenjob.com/jobs/6242328
6242111,신입,2026-07-20 01:20:09,2026-07-16,Access World Korea Limited,[정규직] 국제물류관리 담당자 신입 및 경력 채용,,서울 / 서울 중구,인턴.신입 / 사원,,08.14,https://www.peoplenjob.com/jobs/6242111
6241878,신입,2026-07-20 01:20:09,2026-07-16,Pentax Medical Singapore Pte.Ltd.(Korea Branch),[PENTAX Medical] Endoscope Repair Technicians (신입-경력 3년 이내),,서울 광진구,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6241878
6242245,신입,2026-07-20 01:20:09,2026-07-16,Air Liquide Korea,[바이탈에어코리아] 수도권 홈헬스케어 영업직 (신입 가능/교육 제공),,서울 / 경기 / 인천,인턴.신입 / 사원,,08.15,https://www.peoplenjob.com/jobs/6242245
6242156,신입,2026-07-20 01:20:09,2026-07-16,VISLUBE,U [부산]고객사 오더 코디네이터 모집,,부산 / 부산 진흥마제스타워,인턴.신입 / 사원 / 대리.과장,,07.30,https://www.peoplenjob.com/jobs/6242156
6241572,신입,2026-07-20 01:20:09,2026-07-15,Air Liquide Korea,[장애인채용] 총무/사무행정 지원,,서울,인턴.신입 / 사원,,08.14,https://www.peoplenjob.com/jobs/6241572
6241306,신입,2026-07-20 01:20:09,2026-07-15,dentsu,[글로벌광고회사] 덴츠그룹 총무 인턴 채용,,서울 / 서울 강남,인턴.신입,,08.14,https://www.peoplenjob.com/jobs/6241306
6240647,신입,2026-07-20 01:20:09,2026-07-15,Cargill Agri Purina,[Cargill] 영업부 판매부장(Sales Professional) / 신입 트레이니(Sales Trainee),,경기 성남 / 전국,인턴.신입 / 사원 / 대리.과장,,07.29,https://www.peoplenjob.com/jobs/6240647
6240791,신입,2026-07-20 01:20:09,2026-07-14,Maersk,3PL Infrastructure Support (신입가능),,경기 이천,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6240791
6239911,신입,2026-07-20 01:20:09,2026-07-13,디에이치엘서플라이체인코리아(주),"[DHL] Supervisor, Transport (검단, 신입가능, 운송관리)",,검단,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6239911
6239710,신입,2026-07-20 01:20:09,2026-07-13,GE Healthcare,"Materials Specialist (신입가능, 성남근무)",,경기도 성남,인턴.신입 / 사원 / 대리.과장,,채용시,https://www.peoplenjob.com/jobs/6239710
6239704,신입,2026-07-20 01:20:09,2026-07-13,Deloitte,[딜로이트 안진회계법인] 세무자문부문 BPS그룹 주니어 경력직,,서울 영등포구,인턴.신입,,08.07,https://www.peoplenjob.com/jobs/6239704
6239613,신입,2026-07-20 01:20:09,2026-07-13,Merck Ltd. Korea,"[Merck Korea] Junior OLED Chemist (유기합성, 석사이상, 신입가능, 포승 근무)",,경기도 평택 평택항로 306,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6239613
6238587,신입,2026-07-20 01:20:09,2026-07-10,익스피다이터스 코리아,[외국계/글로벌 포워딩] 익스피다이터스코리아 통관부  신입사원 채용 (인천근무),,인천,인턴.신입,,08.09,https://www.peoplenjob.com/jobs/6238587
