rec_idx,키워드,수집일시,등록일,날짜구분,기업명,공고제목,직무카테고리,근무지역,경력,학력,고용형태,마감일,공고링크,매칭타겟명
54493611,신입,2026-07-19 15:46:59,2026-07-17,등록일,(주)케이티엠앤에스,(주)케이티엠앤에스 용인영업사원 정규직 경력무관 모집중,"통신기기판매, ,, 매장관리, ,, 판매직, ,, IT·통신기기판매",경기 용인시 수지구,경력무관,학력무관,정규직,~08/16(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54493611,케이티
54451767,신입,2026-07-19 15:46:59,2026-07-13,수정일,JW홀딩스,[JW중외제약] 임상보조원 계약직 채용,"예산관리, ,, 예산관리, ,, 전표입력, ,, 인사행정",경기 과천시,신입·경력,대졸↑,계약직,오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54451767,JW홀딩스
54279315,신입,2026-07-19 15:46:59,2026-06-25,등록일,(주)SG세계물산,[SG세계물산] 여성복 영업담당 경력채용(대리~차장급),"고객관리, ,, 영업, ,, 기업영업, ,, 영업관리, ,, 영업직, 외",서울 금천구,경력 4~15년,대졸↑,정규직,~07/25(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54279315,SG세계물산
54487254,신입,2026-07-19 15:46:59,2026-07-16,등록일,(주)연우,"HK 연우 - 오퍼레이터 모집(교대)(상여 300프로, 중석식제공)","기계조작원, ,, 2교대, ,, 기타제조업",인천 서구,경력무관,고졸↑,계약직,~08/15(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54487254,연우
54427772,신입,2026-07-19 15:46:59,2026-07-10,수정일,(주)씨앤씨인터내셔널,[색조화장품 1위 ODM기업] 용인 포장 PM(설비 오퍼레이터),"기계조작원, ,, PSM, ,, 생산관리, ,, 설비OP, ,, 화장품, 외",경기 용인시 처인구,경력무관,고졸↑,정규직,~08/09(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54427772,씨앤씨인터내셔널
54481298,신입,2026-07-19 15:46:59,2026-07-16,수정일,(주)시너지이노베이션,미생물 배양 배지 생산·제조 담당자 채용 (사원~주임급),"제약/바이오, ,, 단순생산직, ,, 설비OP, ,, 제조가공, ,, 배합, 외",경기 성남시 중원구,신입·경력,학력무관,정규직,~08/15(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54481298,시너지이노베이션
54487525,신입,2026-07-19 15:46:59,2026-07-16,등록일,(주)한섬,현대백화점그룹 ㈜한섬 구매관리팀 아르바이트 (의류샘플관리),"의상디자인, ,, 창고관리, ,, 검품/검수, ,, 재고관리, ,, 구매관리, 외",서울 강남구,경력무관,초대졸↑,,~07/27(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54487525,한섬
54147286,신입,2026-07-19 15:46:59,2026-07-10,수정일,(주)디티앤씨,(주)디티앤씨 원자력센터 내진검증팀 해석원 모집,"연구원, ,, 인증심사원, ,, 기술연구, ,, 원자력, ,, 시료분석, 외",경기 용인시 처인구,경력무관,대졸↑,,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54147286,디티앤씨
54487469,신입,2026-07-19 15:46:59,2026-07-16,등록일,자화전자(주),"자화전자(주) 동탄R&D센터 샘플 측정, 외관 품질 검토 인원 모집","설비OP, ,, 외관검사원, ,, 주간근무, ,, 품질검사원, ,, 좌식근무, 외",경기 화성시,경력무관,학력무관,,~08/15(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54487469,자화전자
54246437,신입,2026-07-19 15:46:59,2026-06-22,수정일,주식회사 에스엠바로코사경인,SM그룹 계열사 SM바로코사경인 물류직원 모집(주류),"창고관리, ,, 재고관리, ,, 자재관리, ,, 물류관리, ,, 유통관리, 외",인천 미추홀구,경력무관,학력무관,정규직,~07/22(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54246437,에스엠
54474261,신입,2026-07-19 15:46:59,2026-07-16,수정일,(주)차바이오텍,[차바이오텍] 사업기획팀 팀장 채용,"사업기획, ,, 경영분석, ,, 타당성검토, ,, 관리회계, ,, 사업관리, 외",경기 성남시 분당구,경력10년↑,대졸↑,정규직,~08/31(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54474261,차바이오텍
53985612,신입,2026-07-19 15:46:59,2026-07-15,수정일,(주)골프존카운티매니지먼트,[골프존카운티매니지먼트] 전국 골프장 수시채용(정규직),"고객안내, ,, 골프, ,, 고객응대, ,, 골프장CC",대전 유성구,경력무관,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=53985612,골프존
54443404,신입,2026-07-19 15:46:59,2026-07-13,등록일,디아이티㈜,반도체 광학 장비 필드 서비스 엔지니어,"고객응대, ,, 기계수리, ,, 설비점검, ,, 정밀광학",경기 수원시 영통구,신입·경력,대졸↑,정규직,~08/12(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54443404,디아이티
