job_id,키워드,수집일시,등록일,기업명,공고제목,직무카테고리,근무지역,경력,학력,마감일,공고링크,매칭타겟명
49522466,해외영업,2026-07-20 00:19:07,2026-07-20,㈜에이텍씨앤,[에이텍씨앤] 본사 산업용 IT장비 영업 경력직 채용,"백화점·유통·도소매, 제품영업",경기 성남시,경력,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49522466,에이텍
49526725,해외영업,2026-07-20 00:19:07,2026-07-20,현대자동차고등판매대리점,현대자동차 고등대리점 카마스터 (영업직) 신입/경력 모집,"백화점·유통·도소매, 제품영업",경기 성남시,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49526725,현대자동차
49586762,신입,2026-07-20 00:19:07,2026-07-20,에스와이티에스㈜군포공장,공무안전팀 공무설비 신입/경력사원(관리) 채용,"자동차·조선·철강·항공, 시설관리자, 안전관리자",경기 군포시,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49586762,에스와이
49570426,신입,2026-07-20 00:19:07,2026-07-20,㈜하이스틸,(주)하이스틸  전산실 신입/경력채용,"자동차·조선·철강·항공, 웹개발자, 앱개발자, DBA",서울 중구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49570426,하이스틸
49531975,신입,2026-07-20 00:19:07,2026-07-20,㈜아이씨디,(주)아이씨디 품질팀 신입 채용,"반도체·디스플레이·광학, 품질관리자",경기 안성시,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49531975,아이씨디
49582282,신입,2026-07-20 00:19:07,2026-07-20,㈜에스비에스아이,SBS홈페이지 서비스 기획 신입&경력사원 공개채용,"웹에이전시, 웹기획",서울 마포구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49582282,에스비에스
49605242,신입,2026-07-20 00:19:07,2026-07-20,㈜아이씨디,(주)아이씨디 전략영업팀(국내) 신입/경력 인재 채용,"반도체·디스플레이·광학, 제품영업, 영업관리",경기 안성시,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49605242,아이씨디
49587204,신입,2026-07-20 00:19:07,2026-07-20,㈜까뮤이앤씨,(주)까뮤이앤씨 안전관리자 정규직 모집(신입),"건설·시공·토목·조경, 안전관리자",서울 영등포구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49587204,까뮤이앤씨
49565245,신입,2026-07-20 00:19:07,2026-07-20,㈜에치에프알,"[HFR] 중계기, RU설계, 개발 신입/경력 인력 모집","네트워크·통신서비스, 시스템엔지니어",경기 성남시,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49565245,에치에프알
49531844,신입,2026-07-20 00:19:07,2026-07-20,지에스이앤씨㈜,지에스이앤씨(주) 토목설계 신입·경력 모집합니다,"건설·시공·토목·조경, 설계엔지니어",서울 서초구,신입,,,https://www.jobkorea.co.kr/Recruit/GI_Read/49531844,지에스
