rec_idx,키워드,수집일시,등록일,날짜구분,기업명,공고제목,직무카테고리,근무지역,경력,학력,고용형태,마감일,공고링크
54431704,마케팅,2026-07-20 00:58:18,2026-07-16,수정일,(주)케이티아이에스,[KT계열사] KT군포센터 기업고객 상담사 채용 (정규직),"온라인마케팅, ,, 모바일마케팅, ,, 해지방어, ,, 텔레마케터, ,, 인바운드, 외",서울전체,경력무관,학력무관,정규직,~07/22(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54431704
54404400,마케팅,2026-07-20 00:58:18,2026-07-08,등록일,(주)사람인에이치에스,[LVMH/프레드/주얼리] 현대 판교점 SA~SSA 채용,"고객관리, ,, 가전판매, ,, 주얼리/액세서리, ,, 임원비서, ,, 세일즈프로모션, 외",서울전체,신입·경력,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54404400
54143640,마케팅,2026-07-20 00:58:18,2026-07-16,수정일,고려신용정보(주),채권영업관리사 / 채권추심관리사 특별 모집(마감 예정),"CRM마케팅, ,, 온라인마케팅, ,, 마케팅, ,, 오프라인마케팅, ,, 디지털마케팅, 외",서울 영등포구,경력무관,학력무관,,~08/10(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54143640
54431006,마케팅,2026-07-20 00:58:18,2026-07-10,수정일,(주)케이티아이에스,[평일5일 근무]롯데렌터카 영어 상담사 채용,"영어, ,, 해피콜, ,, 텔레마케터, ,, 콜통계/분석, ,, 상담교사, 외",서울 금천구,경력무관,고졸↑,계약직,~07/22(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54431006
54489272,마케팅,2026-07-20 00:58:18,2026-07-16,등록일,존스랑라살(주),라살자산운용 Investor Relations - 과장급,"부동산투자, ,, 자산운용사, ,, 자산운용, ,, 부동산, ,, 투자자문, 외",서울 종로구,경력3년↑,대졸↑,정규직,~08/15(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54489272
54433480,마케팅,2026-07-20 00:58:18,2026-07-10,등록일,인카금융서비스(주),인카금융서비스 영업 신입 및 경력자 모집,"영업마케팅, ,, 영업, ,, 영업관리, ,, 영업기획, ,, 영업전략, 외",경기 성남시 분당구,경력무관,학력무관,,~08/09(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54433480
54439386,마케팅,2026-07-20 00:58:18,2026-07-19,수정일,(주)맨파워그룹코리아,[맨파워] 본사 인턴 채용,"면접/인터뷰, ,, 채용담당자, ,, 잡매니저, ,, 아웃소싱, ,, 채용공고관리, 외",서울 강남구,신입,대졸↑,,~08/10(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54439386
54340102,마케팅,2026-07-20 00:58:18,2026-07-01,등록일,(주)사람인에이치에스,[정규직/LVMH/패션그룹] 펜디 신세계 강남 우먼 SM 채용,"영업, ,, 영업직, ,, 고객관리, ,, 가전판매, ,, 세일즈프로모션, 외",서울전체,경력 6~12년,학력무관,정규직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54340102
54351401,마케팅,2026-07-20 00:58:18,2026-07-10,수정일,(주)맨파워그룹코리아,[일본어/재택可] 글로벌 헬스케어기업 컴플라이언스 Admin (1Y),"컴플라이언스, ,, 사무직, ,, 자료입력, ,, 문서작성, ,, 자료조사, 외",서울 용산구,경력무관,대졸↑,,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54351401
54248462,마케팅,2026-07-20 00:58:18,2026-07-16,수정일,(주)월덱스,(주)월덱스 각 부문 신입/경력 공개채용,"영업마케팅, ,, 영업, ,, 영업관리, ,, 영업기획, ,, 영업전략, 외",경북 구미시,신입·경력,고졸↑,,~07/26(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54248462
